close,timestamp
0,8505.66,2018-03-20 06:58:00
1,8496.78,2018-03-20 06:59:00
2,8504.0,2018-03-20 07:00:00
3,8504.38,2018-03-20 07:01:00
4,8498.07,2018-03-20 07:02:00
5,8494.17,2018-03-20 07:03:00
6,8494.43,2018-03-20 07:04:00
7,8488.18,2018-03-20 07:05:00
8,8487.09,2018-03-20 07:06:00
9,8489.09,2018-03-20 07:07:00
10,8487.49,2018-03-20 07:08:00
11,8486.16,2018-03-20 07:09:00
12,8485.65,2018-03-20 07:10:00
13,8487.02,2018-03-20 07:11:00
14,8481.56,2018-03-20 07:12:00
15,8476.86,2018-03-20 07:13:00
16,8471.85,2018-03-20 07:14:00
17,8471.78,2018-03-20 07:15:00
18,8483.14,2018-03-20 07:16:00
19,8481.05,2018-03-20 07:17:00
20,8483.02,2018-03-20 07:18:00
21,8487.02,2018-03-20 07:19:00
22,8488.49,2018-03-20 07:20:00
23,8484.85,2018-03-20 07:21:00
24,8487.62,2018-03-20 07:22:00
25,8488.8,2018-03-20 07:23:00
26,8514.97,2018-03-20 07:24:00
27,8573.6,2018-03-20 07:25:00
28,8564.28,2018-03-20 07:26:00
29,8571.43,2018-03-20 07:27:00
30,8563.67,2018-03-20 07:28:00
31,8560.44,2018-03-20 07:29:00
32,8569.26,2018-03-20 07:30:00
33,8569.01,2018-03-20 07:31:00
34,8554.42,2018-03-20 07:32:00
35,8559.7,2018-03-20 07:33:00
36,8558.05,2018-03-20 07:34:00
37,8556.01,2018-03-20 07:35:00
38,8550.12,2018-03-20 07:36:00
39,8557.18,2018-03-20 07:37:00
40,8554.48,2018-03-20 07:38:00
41,8547.19,2018-03-20 07:39:00
42,8544.3,2018-03-20 07:40:00
43,8545.29,2018-03-20 07:41:00
44,8545.86,2018-03-20 07:42:00
45,8546.57,2018-03-20 07:43:00
46,8545.88,2018-03-20 07:44:00
47,8538.09,2018-03-20 07:45:00
48,8527.89,2018-03-20 07:46:00
49,8528.96,2018-03-20 07:47:00
50,8525.02,2018-03-20 07:48:00
51,8523.03,2018-03-20 07:49:00
52,8526.26,2018-03-20 07:50:00
53,8534.01,2018-03-20 07:51:00
54,8533.47,2018-03-20 07:52:00
55,8535.44,2018-03-20 07:53:00
56,8553.15,2018-03-20 07:54:00
57,8547.99,2018-03-20 07:55:00
58,8544.72,2018-03-20 07:56:00
59,8536.5,2018-03-20 07:57:00
60,8541.73,2018-03-20 07:58:00
61,8546.0,2018-03-20 07:59:00
62,8530.72,2018-03-20 08:00:00
63,8522.13,2018-03-20 08:01:00
64,8508.55,2018-03-20 08:02:00
65,8517.44,2018-03-20 08:03:00
66,8512.96,2018-03-20 08:04:00
67,8511.56,2018-03-20 08:05:00
68,8498.26,2018-03-20 08:06:00
69,8504.99,2018-03-20 08:07:00
70,8504.09,2018-03-20 08:08:00
71,8501.15,2018-03-20 08:09:00
72,8504.17,2018-03-20 08:10:00
73,8505.35,2018-03-20 08:11:00
74,8505.18,2018-03-20 08:12:00
75,8507.55,2018-03-20 08:13:00
76,8509.17,2018-03-20 08:14:00
77,8509.26,2018-03-20 08:15:00
78,8508.47,2018-03-20 08:16:00
79,8509.69,2018-03-20 08:17:00
80,8510.08,2018-03-20 08:18:00
81,8519.62,2018-03-20 08:19:00
82,8517.76,2018-03-20 08:20:00
83,8522.92,2018-03-20 08:21:00
84,8503.14,2018-03-20 08:22:00
85,8506.78,2018-03-20 08:23:00
86,8507.8,2018-03-20 08:24:00
87,8512.57,2018-03-20 08:25:00
88,8512.34,2018-03-20 08:26:00
89,8512.77,2018-03-20 08:27:00
90,8513.91,2018-03-20 08:28:00
91,8525.94,2018-03-20 08:29:00
92,8537.33,2018-03-20 08:30:00
93,8531.9,2018-03-20 08:31:00
94,8535.1,2018-03-20 08:32:00
95,8537.02,2018-03-20 08:33:00
96,8537.07,2018-03-20 08:34:00
97,8538.45,2018-03-20 08:35:00
98,8533.34,2018-03-20 08:36:00
99,8539.05,2018-03-20 08:37:00
100,8549.45,2018-03-20 08:38:00
101,8541.28,2018-03-20 08:39:00
102,8541.82,2018-03-20 08:40:00
103,8540.61,2018-03-20 08:41:00
104,8541.94,2018-03-20 08:42:00
105,8542.42,2018-03-20 08:43:00
106,8546.01,2018-03-20 08:44:00
107,8571.58,2018-03-20 08:45:00
108,8572.37,2018-03-20 08:46:00
109,8560.6,2018-03-20 08:47:00
110,8567.26,2018-03-20 08:48:00
111,8573.38,2018-03-20 08:49:00
112,8574.12,2018-03-20 08:50:00
113,8573.26,2018-03-20 08:51:00
114,8589.32,2018-03-20 08:52:00
115,8619.88,2018-03-20 08:53:00
116,8587.47,2018-03-20 08:54:00
117,8600.81,2018-03-20 08:55:00
118,8593.33,2018-03-20 08:56:00
119,8575.35,2018-03-20 08:57:00
120,8574.03,2018-03-20 08:58:00
121,8572.34,2018-03-20 08:59:00
122,8562.42,2018-03-20 09:00:00
123,8564.81,2018-03-20 09:01:00
124,8573.21,2018-03-20 09:02:00
125,8577.11,2018-03-20 09:03:00
126,8576.61,2018-03-20 09:04:00
127,8567.43,2018-03-20 09:05:00
128,8566.91,2018-03-20 09:06:00
129,8570.6,2018-03-20 09:07:00
130,8570.02,2018-03-20 09:08:00
131,8570.73,2018-03-20 09:09:00
132,8577.14,2018-03-20 09:10:00
133,8580.95,2018-03-20 09:11:00
134,8579.02,2018-03-20 09:12:00
135,8567.22,2018-03-20 09:13:00
136,8563.18,2018-03-20 09:14:00
137,8550.21,2018-03-20 09:15:00
138,8531.27,2018-03-20 09:16:00
139,8549.32,2018-03-20 09:17:00
